Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDA10,7.252847182282817,Low Fat,0.06834169041144053,Snack Foods,120.64607820792753,OUT019,1997,nan,Tier 1,Supermarket Type1,1777.7728498042723
FDY36,14.958618265055946,Regular,0.08795711764137192,Baking Goods,167.6557852318864,OUT029,1999,Small,Tier 3,Supermarket Type1,2594.435461974859
FDY86,17.501149691956883,Low Fat,0.019767752965285386,Frozen Foods,116.04431958279628,OUT025,2009,Medium,Tier 2,Supermarket Type1,850.6081932812103
FDI12,14.25277439072577,low fat,0.02781049062886197,Baking Goods,116.2379749648927,OUT025,1998,Small,Tier 2,Supermarket Type2,1188.470562489667
FDG79,,Low Fat,0.09692236147331895,Dairy,60.6099270097434,OUT012,1987,Medium,Tier 2,Grocery Store,409.41384847129433
FDH36,17.977980318935536,low fat,0.12108895617931886,Soft Drinks,246.3717463078632,OUT032,1999,Medium,Tier 1,Supermarket Type1,3149.648756723866
FDI71,15.175275314619656,Low Fat,0.10913096616918164,Soft Drinks,202.6137084338722,OUT031,1997,High,Tier 1,Supermarket Type1,2201.402830929713
FDE60,11.210651298031928,Regular,0.057419206511385795,Snack Foods,30.28599093920346,OUT037,1997,Medium,Tier 3,Supermarket Type1,838.6599262703128
FDJ53,15.786084728577007,Low Fat,0.08174285419765528,Household,206.091055325098,OUT045,1998,Medium,Tier 2,Supermarket Type1,2894.015721712938
FDX88,9.158479667885326,LF,0.08177075945298119,Dairy,200.1528483113075,OUT013,1998,High,Tier 1,Supermarket Type2,2604.848974085653
FDV41,10.523075335907368,Low Fat,0.0503266960824943,Meat,32.23812083577029,OUT047,1999,nan,Tier 1,Supermarket Type1,255.9235570369479
FDX61,19.67977349011184,Low Fat,0.0878964401424056,Fruits and Vegetables,115.00898845116585,OUT033,2004,Medium,Tier 3,Supermarket Type1,989.2200475149215
FDQ71,9.648072090742726,Low Fat,0.06165438636443793,Fruits and Vegetables,169.55196877487205,OUT028,1998,Small,Tier 2,Supermarket Type1,2319.98490255188
FDQ67,12.519812290526986,Low Fat,0.11844420904541086,Soft Drinks,134.13264992734827,OUT020,2004,Small,Tier 1,Supermarket Type1,1941.3609675030739
FDT21,,Low Fat,0.024488430304427947,Snack Foods,208.93680730571668,OUT049,2009,nan,Tier 1,Supermarket Type1,3755.953961337337
FDG11,16.32354160428044,LF,0.03707827122394855,Frozen Foods,127.85541650591982,OUT049,1997,Medium,Tier 1,Grocery Store,555.3904170286739
FDC65,5.995251618635244,reg,0.123330217637744,Dairy,65.38848297438253,OUT048,1999,Small,Tier 1,Supermarket Type2,820.4281603369407
FDQ68,7.3568487084635255,Low Fat,0.0,Meat,254.57559358298056,OUT027,1998,Small,Tier 2,Supermarket Type2,3673.9464010137654
FDQ11,5.125465452350669,LF,0.06260202018571798,Fruits and Vegetables,85.66919833849072,OUT021,2009,nan,Tier 3,Supermarket Type1,158.7293921973603
FDB63,15.094748643666614,Regular,0.029960818938520345,Dairy,195.06923142450643,OUT023,1999,Medium,Tier 2,Supermarket Type1,2681.021963614422
FDW10,12.162774806566693,Low Fat,0.08211803484543606,Meat,62.925951682736546,OUT027,1987,Medium,Tier 3,Supermarket Type1,1261.1976465080356
FDS11,7.1483976144364085,Regular,0.11881147124698531,Baking Goods,105.67290117030451,OUT021,1985,High,Tier 1,Supermarket Type1,1628.587093174406
FDU53,20.326945936908327,Regular,0.06773468037166351,Soft Drinks,131.66634993899748,OUT049,2004,Small,Tier 2,Supermarket Type1,2362.8813598495
FDZ41,13.474555583129918,reg,0.060381912102907546,Household,74.2133610412247,OUT036,1985,Medium,Tier 3,Supermarket Type1,1654.1773860017847
FDF41,8.870292705806227,Low Fat,0.13138762810263943,Fruits and Vegetables,133.49070256478018,OUT015,2007,Medium,Tier 3,Supermarket Type1,1179.7734880346925
FDW77,13.00965713847532,Regular,0.1751376725407874,Fruits and Vegetables,66.14744928810251,OUT033,2009,Medium,Tier 1,Supermarket Type1,667.0183243746258
FDW84,15.873925323761725,Low Fat,0.10767252661099995,Meat,158.57150396675473,OUT042,2004,nan,Tier 3,Grocery Store,864.1814925752661
FDX26,6.219827487577032,Low Fat,0.05216154839522163,Household,182.6540480796446,OUT025,2009,Medium,Tier 3,Supermarket Type1,2792.2539031265874
FDF33,9.395261040766272,Low Fat,0.05398314811546075,Frozen Foods,44.35988532644248,OUT021,2002,High,Tier 3,Supermarket Type1,590.654078889538
FDE79,17.911447854143898,reg,0.06156022851456945,Baking Goods,230.36038784889865,OUT040,2004,Small,Tier 1,Supermarket Type1,3972.2323102693854
FDV20,12.35463792644258,low fat,0.05938767134136149,Dairy,72.58240355966817,OUT046,1997,Small,Tier 2,Supermarket Type2,692.8843955572927
FDP25,,Regular,0.022573595913792596,Soft Drinks,81.83335782367448,OUT022,2009,Small,Tier 1,Supermarket Type2,861.7364350823057
FDA82,11.925056035351508,Regular,0.09975902970340782,Dairy,182.11046321910447,OUT017,1997,High,Tier 3,Supermarket Type1,2333.074194926951
FDF89,5.702399082288082,Low Fat,0.07583161531904588,Meat,137.81274389991523,OUT047,2002,Medium,Tier 3,Grocery Store,420.72983066274253
FDC29,,Low Fat,0.09411369546419324,Frozen Foods,144.8609878093451,OUT012,1998,Medium,Tier 2,Supermarket Type1,2062.082363994028
FDD28,12.128666219870254,Low Fat,0.06020958304894403,Frozen Foods,59.47564644952052,OUT029,2009,High,Tier 3,Supermarket Type2,982.3277303071995
FDZ76,8.346967446526845,Low Fat,0.07818555999804248,Fruits and Vegetables,215.3192390315739,OUT013,1985,nan,Tier 2,Supermarket Type2,2707.768091224478
FDS29,5.79966445855486,Regular,0.13218650222695255,Baking Goods,171.9224766039683,OUT011,2009,Small,Tier 3,Grocery Store,757.5758288679237
FDG61,18.49839462482918,Regular,0.0,Fruits and Vegetables,61.137869961174886,OUT045,1998,Small,Tier 3,Supermarket Type2,618.114477564395
FDI42,20.69908046662585,Low Fat,0.0895343290603759,Dairy,116.01985441588708,OUT032,1999,Small,Tier 1,Supermarket Type1,1701.9094368599945
FDH48,17.69028598394783,Low Fat,0.1622117354843935,Baking Goods,216.39428452905693,OUT028,1985,High,Tier 1,Supermarket Type1,3968.1362930294226
FDR10,,Low Fat,0.07019010320607623,Snack Foods,160.72166057692274,OUT049,1985,Small,Tier 2,Supermarket Type1,2453.865743196843
FDK66,8.871634085072726,Low Fat,0.10504452041162936,Soft Drinks,54.98921920057401,OUT017,2002,Medium,Tier 1,Supermarket Type3,1316.7500802292734
FDY59,20.370031608211196,LF,0.01590175735235149,Meat,115.73872053153595,OUT025,1985,Medium,Tier 2,Supermarket Type1,2755.041429807163
FDW40,,Regular,0.0,Soft Drinks,85.81971164481897,OUT027,1987,Small,Tier 1,Supermarket Type1,1033.6093997337905
FDJ16,20.222876965789318,low fat,0.019206396307441614,Frozen Foods,149.01707734035705,OUT045,1997,Small,Tier 2,Supermarket Type1,2541.6407624247913
FDP69,,Low Fat,0.2926961940540349,Meat,223.9730596405576,OUT033,2004,Medium,Tier 3,Supermarket Type1,3093.989912910894
FDQ11,16.38756489193678,Low Fat,0.018086596704714145,Frozen Foods,130.34144100501658,OUT010,1987,Small,Tier 2,Supermarket Type2,2347.9978405384677
FDA57,20.69829970866915,Low Fat,0.0,Soft Drinks,129.66866698471432,OUT010,1999,Small,Tier 1,Supermarket Type1,1492.637692130384
FDL78,14.112636473073659,low fat,0.0543530942300664,Snack Foods,238.2307075352185,OUT045,2009,Medium,Tier 2,Supermarket Type1,3406.035482132739
FDE41,9.152668530817445,Regular,0.009666324487208947,Dairy,162.52264487667264,OUT020,2007,High,Tier 1,Supermarket Type1,2157.2680900406604
FDW18,11.991934170649934,Low Fat,0.05936020897021034,Household,160.22395010140357,OUT027,2007,Small,Tier 3,Supermarket Type2,1881.5758816294092
FDI28,,Regular,0.05557135656080611,Baking Goods,90.23927513133955,OUT025,1987,Medium,Tier 1,Supermarket Type1,290.4238560904837
FDP89,6.16930499243224,Low Fat,0.18968662581420112,Meat,169.77623200253905,OUT026,1985,Small,Tier 3,Supermarket Type1,2750.3672015522175
FDC29,14.957492233875938,Regular,0.0,Dairy,162.45940750600116,OUT033,2009,High,Tier 3,Supermarket Type2,2118.469330622961
FDX63,,LF,0.041955401572236636,Fruits and Vegetables,121.27583817862872,OUT043,1998,nan,Tier 1,Supermarket Type1,1683.3233810899214
FDX42,8.041722396539642,Regular,0.048719251630804275,Fruits and Vegetables,257.8599801568115,OUT013,2009,nan,Tier 3,Supermarket Type1,3803.14609163236
FDX84,17.681521860614133,Regular,0.012047315042091875,Soft Drinks,232.83492193805995,OUT044,2004,Medium,Tier 1,Grocery Store,827.8769270302889
FDQ81,19.526380700473908,Low Fat,0.0830652298052692,Frozen Foods,202.40484671766757,OUT024,2002,Medium,Tier 2,Supermarket Type1,2839.56548419572
FDD47,20.099225485123533,Low Fat,0.0840383519865615,Fruits and Vegetables,153.58948533499012,OUT011,2009,nan,Tier 3,Supermarket Type1,1410.504637354662
FDH93,20.362169670487155,Low Fat,0.02497682645140552,Frozen Foods,136.27375443576494,OUT040,1998,Small,Tier 2,Supermarket Type1,1814.3078073319732
FDC98,13.343354219543551,Low Fat,0.043007960024440954,Household,72.52640090133585,OUT018,1985,High,Tier 2,Supermarket Type1,1836.9951227010743
FDC34,20.63692652786406,Regular,0.19990512882189476,Meat,100.31961902336346,OUT019,1999,nan,Tier 1,Supermarket Type1,1235.8380476020882
FDR91,17.116963314151022,Regular,0.11819335334956593,Soft Drinks,208.01098395933835,OUT034,2002,Medium,Tier 1,Grocery Store,763.917335083827
FDB63,7.58674297979139,Low Fat,0.14555784537155456,Meat,134.36225940563685,OUT014,2002,Medium,Tier 3,Supermarket Type3,2655.528778009363
FDC89,12.63040170348752,low fat,0.11445478832904445,Meat,232.9219888109853,OUT023,1985,High,Tier 1,Supermarket Type1,4278.02568516646
FDI42,16.493298805952065,Low Fat,0.03545120241040289,Snack Foods,64.01956135947162,OUT047,2004,Small,Tier 2,Supermarket Type1,735.7019766546844
FDD42,8.957445053105333,Low Fat,0.03334159377624981,Dairy,146.91983208313638,OUT049,2007,Medium,Tier 2,Supermarket Type1,1428.8570556949282
FDN30,15.249842936782198,Low Fat,0.0445121454416534,Fruits and Vegetables,178.80210732490102,OUT011,1999,Small,Tier 2,Supermarket Type2,1769.206212275507
FDP29,15.665607664745908,Low Fat,0.02651814024010518,Baking Goods,148.87514495082297,OUT027,1987,Small,Tier 3,Supermarket Type1,2030.5290160370953
FDX17,,Low Fat,0.1874755164623721,Meat,234.52218506454705,OUT038,1987,Small,Tier 1,Supermarket Type1,3924.4328844117895
FDG76,14.0413649992441,Low Fat,0.043418240665124806,Frozen Foods,257.5995548207021,OUT029,1999,Medium,Tier 2,Grocery Store,1225.3514192163882
FDQ42,17.34603057565772,Low Fat,0.04284975393327857,Household,56.64197141851504,OUT017,2004,Small,Tier 3,Supermarket Type1,1398.537312818571
FDP85,12.98233063257507,reg,0.12087968732359204,Snack Foods,59.88962793769183,OUT046,2004,High,Tier 1,Supermarket Type1,1212.278975391587
FDS95,5.193649868417719,Low Fat,0.06916105367773544,Frozen Foods,59.974546118827845,OUT035,1998,Medium,Tier 1,Supermarket Type1,905.2295736190634
FDW31,5.144615505268675,Low Fat,0.12817411721706004,Household,186.67073209622134,OUT046,1997,Small,Tier 2,Supermarket Type2,1479.7496888819655
FDN39,10.712469503520195,Low Fat,0.03891564015441579,Frozen Foods,115.71550196404272,OUT013,2009,Small,Tier 3,Supermarket Type1,2428.156920134945
FDF60,19.81910509490851,Regular,0.06172902589473,Baking Goods,198.6623720911584,OUT042,2004,Small,Tier 2,Supermarket Type1,2251.5442294928225
FDV17,8.65882847365774,Low Fat,0.04787361707340986,Fruits and Vegetables,123.2584387640051,OUT031,1987,Medium,Tier 2,Supermarket Type1,3004.1796736978995
FDB30,15.149819021946994,low fat,0.14346000549595508,Fruits and Vegetables,174.34954590637463,OUT015,1985,Small,Tier 3,Grocery Store,669.5484400044401
FDA37,8.55321393109313,Regular,0.11630957343881167,Soft Drinks,207.0673413061455,OUT042,1987,High,Tier 2,Supermarket Type1,2743.3027173377573
FDO73,10.146719834552778,Regular,0.03757719357263829,Soft Drinks,156.08965945063176,OUT037,1997,Medium,Tier 3,Supermarket Type1,2074.9350402387436
FDA78,18.568673433623744,Regular,0.03067481411131826,Frozen Foods,154.0858258035014,OUT033,1999,Medium,Tier 3,Grocery Store,695.4423590069927
FDP28,16.66178307631915,Low Fat,0.10291206347573045,Soft Drinks,50.29389481569592,OUT013,1997,High,Tier 2,Supermarket Type1,69.01579723899613
FDD44,6.52638843701137,Low Fat,0.04983641958165063,Fruits and Vegetables,124.47980086917,OUT011,2009,Medium,Tier 2,Supermarket Type1,1424.7856423668966
FDQ26,,Low Fat,0.0693996885773921,Meat,155.52874524173563,OUT022,1998,Medium,Tier 1,Supermarket Type1,2800.178575653372
FDL39,5.4667162183242315,Regular,0.21419813688947723,Frozen Foods,136.2555899032743,OUT020,2004,nan,Tier 1,Supermarket Type1,2714.3520529162824
FDN15,12.694242345648144,Low Fat,0.21073132728962057,Dairy,237.17986004333787,OUT044,1998,Small,Tier 3,Supermarket Type1,3005.08612097819
FDC46,15.59894418721709,Low Fat,0.18899561200513668,Baking Goods,238.50204538748255,OUT048,1997,nan,Tier 3,Grocery Store,1123.290250130721
FDX55,6.896041977570425,reg,0.052594244653684605,Snack Foods,219.0409975354152,OUT019,1985,nan,Tier 3,Supermarket Type1,3023.904531909653
FDU69,9.62215902254665,Low Fat,0.12135232831295464,Baking Goods,116.3185573358176,OUT019,2009,Small,Tier 1,Supermarket Type3,2993.750892006042
FDA72,11.36538600803451,low fat,0.12360864352934703,Baking Goods,194.97880488813288,OUT017,1985,nan,Tier 2,Supermarket Type2,2475.9599298027047
FDU41,19.712496394496796,Regular,0.04969374690749637,Soft Drinks,120.91634604601025,OUT014,1985,nan,Tier 2,Supermarket Type3,3268.960907233748
FDW42,,Low Fat,0.08925992283275107,Dairy,83.49652776442457,OUT032,1985,nan,Tier 1,Supermarket Type1,1185.8124257408767
FDC27,5.718580783929854,Low Fat,0.05427145078054842,Household,108.86760801670277,OUT043,1999,High,Tier 2,Supermarket Type1,1386.866420009701
